SKU,FIRST_MINIMUM_PRICE,SECOND_MINIMUM_PRICE
11331,329.0,329.0
11332,175.0,175.0
11333,304.0,379.98
11334,339.0,4175.0
11335,304.0,3775.0
11336,395.0,2725.0
11337,395.0,2725.0
11338,156.0,278.0
11339,266.0,266.0
11340,949.0,949.0
11342,499.0,607.0
11343,228.0,228.0
11344,145.0,145.0
11345,626.0,2499.0
11346,499.97,499.97
11347,158.0,158.0
11348,255.0,377.0
11349,249.0,380.0
11350,232.89,1499.0
11351,449.98,655.0
11352,320.0,411.0
11353,375.0,430.0
11354,390.0,390.0
11355,390.0,4675.0
11356,250.0,567.0
11357,383.0,490.0
11358,675.0,1259.89
11359,127.0,127.0
11360,139.0,599.0
11361,79.99,127.0
11362,132.0,224.75
11363,96.95,802.95
11364,120.0,161.0
11365,475.0,538.0
11366,475.0,538.0
11367,443.0,443.0
11368,395.0,569.89
11369,435.0,586.0
11370,525.0,536.0
11371,873.0,1135.65
11372,1050.0,1500.0
11373,492.0,2295.0
11374,59.0,180.0
11376,295.0,649.97
11377,185.0,279.99
11378,215.0,274.5
11379,162.0,162.0
11380,158.0,256.55
11381,120.0,156.55
11382,210.0,279.99
11383,312.0,379.99
11384,218.0,289.0
11385,721.0,2263.89
11386,125.0,339.97
11388,260.0,453.95
11389,316.0,500.89
11390,189.0,500.89
11391,189.0,500.89
11392,260.0,425.0
11393,258.0,808.89
11394,165.0,399.97
11395,285.0,582.0
11397,171.0,410.0
11398,218.134,906.082
11399,189.98,326.0
11400,215.0,369.98
11401,149.0,149.0
11402,162.0,219.98
11403,229.0,245.0
11404,155.0,224.99
11405,269.94,379.99
11406,225.0,299.99
11407,114.98,154.55
11408,163.89,3142.89
11409,228.0,2900.0
11410,215.0,299.99
11411,129.0,144.0
11412,135.0,167.0
11413,195.0,250.55
11414,69.0,89.99
11415,234.0,3400.0
11416,152.0,194.95
11417,525.0,698.0
11418,849.0,1699.0
11419,819.0,1025.0
11420,407.0,459.0
11421,644.98,699.98
11422,233.0,749.99
11423,188.0,2750.0
11424,177.0,660.89
11425,195.0,314.99
11426,278.0,3325.0
11427,375.0,475.5
11428,129.94,288.0
11429,200.0,655.95
11430,250.0,399.97
11431,276.0,276.0
11432,245.0,259.0
11433,278.0,719.99
11434,202.0,202.0
11435,506.75,1299.97
11436,621.0,799.97
11437,400.0,549.97
11438,1099.0,1749.98
11439,875.0,3250.0
11440,399.0,2263.75
11441,810.0,810.0
11442,825.0,850.0
11444,750.0,1798.0
11445,750.0,1798.0
11446,799.0,1000.0
11448,898.0,1595.0
11449,725.0,899.98
11451,846.0,1119.0
11452,835.0,4199.0
11453,425.0,1499.0
11454,899.0,1395.0
11455,899.0,1199.97
11456,633.0,1887.89
11458,392.0,7848.89
11459,75.0,219.0
11460,450.0,614.0
11461,495.0,1824.89
11462,557.0,557.0
11463,557.0,557.0
11464,668.0,800.0
11465,795.0,849.98
11466,1076.0,1076.0
11467,475.0,1200.0
11468,499.98,1499.99
11469,549.99,1578.95
11470,549.0,2499.0
11471,871.0,1034.0
11472,348.0,585.0
11473,149.94,1975.0
11476,185.0,190.0
11477,152.0,198.992
11478,133.0,325.0
11479,400.0,3079.75
11480,459.0,1710.0
11481,345.0,1095.0
11482,155.0,911.0
11483,155.0,911.0
11484,195.0,480.0
11485,195.0,480.0
11486,309.0,900.0
11487,310.0,494.89
11488,175.0,1995.0
11489,188.0,366.0
11491,248.99,349.95
11492,123.95,229.99
11493,375.0,1071.75
11494,325.0,413.55
11495,139.0,180.0
11496,185.0,269.99
11497,139.97,318.89
11498,139.0,169.89
11499,195.0,538.55
11500,375.0,600.0
11501,137.0,137.0
11502,164.0,2025.0
11503,135.0,137.0
11505,175.0,349.99
11506,135.0,179.99
11507,177.0,235.0
11508,1000.0,1573.89
11509,450.0,899.98
11510,493.0,526.0
11511,525.0,638.0
11512,850.0,949.98
11513,550.0,1100.0
11514,506.0,509.0
11515,475.89,849.98
11516,450.0,1009.89
11517,848.0,1229.55
11518,799.0,954.0
11519,296.0,369.65
11520,463.65,600.0
11522,147.0,171.0
11523,190.0,279.99
11524,225.0,250.0
11525,162.0,325.0
11526,288.0,389.99
11527,234.95,265.0
11528,1199.0,1500.0
11529,425.0,582.0
11530,557.0,650.0
11531,419.99,789.75
11532,495.0,1150.0
11533,545.0,713.5
11534,549.0,1099.0
11535,685.0,799.0
11536,685.0,799.0
11537,575.0,660.0
11539,538.89,894.98
11540,250.0,334.98
11541,354.0,4400.0
11542,225.0,539.99
11543,248.0,588.95
11544,139.0,191.95
11545,175.0,250.55
11546,127.0,179.99
11547,209.0,525.5
11548,170.0,239.99
11549,170.0,239.99
11550,218.0,435.0
11551,250.0,361.0
11552,475.0,1887.75
11553,285.0,882.75
11554,180.0,329.0
11555,324.0,1887.55
11556,390.0,626.89
11557,385.0,939.95
11559,139.0,160.0
11560,2176.0,2176.0
11561,6319.0,7528.89
11562,2525.0,2676.0
11563,2300.0,3512.5
11564,3500.0,8333.33
11565,135.0,179.98
11566,139.0,139.0
11567,132.0,631.75
11568,177.0,575.0
11570,245.0,350.89
11571,190.0,243.55
11572,73.0,299.0
11573,73.0,299.0
11574,241.0,900.0
11575,142.0,151.0
11576,150.0,152.0
11577,129.0,189.97
11578,120.0,301.0
11579,135.0,200.0
11580,152.0,194.89
11581,74.98,359.0
11582,171.0,265.5
11583,209.0,235.0
11584,209.0,235.0
11585,112.95,169.89
11586,139.0,229.97
11587,150.0,155.0
11588,250.0,585.0
11589,155.0,195.0
11590,139.829,181.834
11592,158.0,495.0
11593,389.0,405.0
11594,325.0,4415.0
11595,99.0,399.0
11596,194.94,196.0
11597,202.0,626.75
11598,169.0,632.89
11599,145.0,145.0
11600,240.0,399.99
11601,182.0,219.65
11602,500.0,500.0
11603,135.0,247.0
11604,449.99,506.0
11605,430.0,506.0
11606,158.0,191.0
11607,239.0,608.0
11608,506.0,506.0
11609,455.0,1202.0
11610,470.0,664.25
11611,152.0,152.0
11612,145.0,274.97
11613,149.99,1990.0
11614,180.0,250.0
11615,259.99,1950.0
11616,455.0,459.98
11617,127.0,127.0
11618,316.0,609.75
11619,221.0,221.0
11620,152.0,152.0
11621,215.0,215.0
11622,519.0,699.97
11624,500.0,739.89
11625,949.0,5875.0
